Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2020-04-27/2020-05-10,2020-04-27/2020-05-10,2020-04-27/2020-05-10,,0,,http://reference.data.gov.uk/id/gregorian-interval/2020-04-27/2020-05-10
2020-05-04/2020-05-17,2020-05-04/2020-05-17,2020-05-04/2020-05-17,,1,,http://reference.data.gov.uk/id/gregorian-interval/2020-05-04/2020-05-17
2020-05-11/2020-05-24,2020-05-11/2020-05-24,2020-05-11/2020-05-24,,2,,http://reference.data.gov.uk/id/gregorian-interval/2020-05-11/2020-05-24
2020-05-17/2020-05-30,2020-05-17/2020-05-30,2020-05-17/2020-05-30,,3,,http://reference.data.gov.uk/id/gregorian-interval/2020-05-17/2020-05-30
2020-05-25/2020-06-07,2020-05-25/2020-06-07,2020-05-25/2020-06-07,,4,,http://reference.data.gov.uk/id/gregorian-interval/2020-05-25/2020-06-07
2020-05-31/2020-06-13,2020-05-31/2020-06-13,2020-05-31/2020-06-13,,5,,http://reference.data.gov.uk/id/gregorian-interval/2020-05-31/2020-06-13
2020-06-08/2020-06-21,2020-06-08/2020-06-21,2020-06-08/2020-06-21,,6,,http://reference.data.gov.uk/id/gregorian-interval/2020-06-08/2020-06-21
2020-06-14/2020-06-27,2020-06-14/2020-06-27,2020-06-14/2020-06-27,,7,,http://reference.data.gov.uk/id/gregorian-interval/2020-06-14/2020-06-27
2020-06-22/2020-07-05,2020-06-22/2020-07-05,2020-06-22/2020-07-05,,8,,http://reference.data.gov.uk/id/gregorian-interval/2020-06-22/2020-07-05
2020-07-06/2020-07-12,2020-07-06/2020-07-12,2020-07-06/2020-07-12,,9,,http://reference.data.gov.uk/id/gregorian-interval/2020-07-06/2020-07-12
2020-07-13/2020-07-19,2020-07-13/2020-07-19,2020-07-13/2020-07-19,,10,,http://reference.data.gov.uk/id/gregorian-interval/2020-07-13/2020-07-19
2020-07-20/2020-07-26,2020-07-20/2020-07-26,2020-07-20/2020-07-26,,11,,http://reference.data.gov.uk/id/gregorian-interval/2020-07-20/2020-07-26
2020-07-27/2020-08-02,2020-07-27/2020-08-02,2020-07-27/2020-08-02,,12,,http://reference.data.gov.uk/id/gregorian-interval/2020-07-27/2020-08-02
2020-08-03/2020-08-09,2020-08-03/2020-08-09,2020-08-03/2020-08-09,,13,,http://reference.data.gov.uk/id/gregorian-interval/2020-08-03/2020-08-09
2020-08-07/2020-08-13,2020-08-07/2020-08-13,2020-08-07/2020-08-13,,14,,http://reference.data.gov.uk/id/gregorian-interval/2020-08-07/2020-08-13
2020-08-14/2020-08-20,2020-08-14/2020-08-20,2020-08-14/2020-08-20,,15,,http://reference.data.gov.uk/id/gregorian-interval/2020-08-14/2020-08-20
2020-08-19/2020-08-25,2020-08-19/2020-08-25,2020-08-19/2020-08-25,,16,,http://reference.data.gov.uk/id/gregorian-interval/2020-08-19/2020-08-25
2020-08-30/2020-09-05,2020-08-30/2020-09-05,2020-08-30/2020-09-05,,17,,http://reference.data.gov.uk/id/gregorian-interval/2020-08-30/2020-09-05
2020-09-04/2020-09-10,2020-09-04/2020-09-10,2020-09-04/2020-09-10,,18,,http://reference.data.gov.uk/id/gregorian-interval/2020-09-04/2020-09-10
2020-09-13/2020-09-19,2020-09-13/2020-09-19,2020-09-13/2020-09-19,,19,,http://reference.data.gov.uk/id/gregorian-interval/2020-09-13/2020-09-19
2020-09-18/2020-09-24,2020-09-18/2020-09-24,2020-09-18/2020-09-24,,20,,http://reference.data.gov.uk/id/gregorian-interval/2020-09-18/2020-09-24
2020-09-25/2020-10-01,2020-09-25/2020-10-01,2020-09-25/2020-10-01,,21,,http://reference.data.gov.uk/id/gregorian-interval/2020-09-25/2020-10-01
2020-10-02/2020-10-08,2020-10-02/2020-10-08,2020-10-02/2020-10-08,,22,,http://reference.data.gov.uk/id/gregorian-interval/2020-10-02/2020-10-08
2020-10-10/2020-10-16,2020-10-10/2020-10-16,2020-10-10/2020-10-16,,23,,http://reference.data.gov.uk/id/gregorian-interval/2020-10-10/2020-10-16
2020-10-17/2020-10-23,2020-10-17/2020-10-23,2020-10-17/2020-10-23,,24,,http://reference.data.gov.uk/id/gregorian-interval/2020-10-17/2020-10-23
2020-10-25/2020-10-31,2020-10-25/2020-10-31,2020-10-25/2020-10-31,,25,,http://reference.data.gov.uk/id/gregorian-interval/2020-10-25/2020-10-31
2020-10-31/2020-11-06,2020-10-31/2020-11-06,2020-10-31/2020-11-06,,26,,http://reference.data.gov.uk/id/gregorian-interval/2020-10-31/2020-11-06
2020-11-08/2020-11-14,2020-11-08/2020-11-14,2020-11-08/2020-11-14,,27,,http://reference.data.gov.uk/id/gregorian-interval/2020-11-08/2020-11-14
2020-11-15/2020-11-21,2020-11-15/2020-11-21,2020-11-15/2020-11-21,,28,,http://reference.data.gov.uk/id/gregorian-interval/2020-11-15/2020-11-21
2020-11-22/2020-11-28,2020-11-22/2020-11-28,2020-11-22/2020-11-28,,29,,http://reference.data.gov.uk/id/gregorian-interval/2020-11-22/2020-11-28
2020-11-29/2020-12-05,2020-11-29/2020-12-05,2020-11-29/2020-12-05,,30,,http://reference.data.gov.uk/id/gregorian-interval/2020-11-29/2020-12-05
2020-12-06/2020-12-12,2020-12-06/2020-12-12,2020-12-06/2020-12-12,,31,,http://reference.data.gov.uk/id/gregorian-interval/2020-12-06/2020-12-12
2020-12-12/2020-12-18,2020-12-12/2020-12-18,2020-12-12/2020-12-18,,32,,http://reference.data.gov.uk/id/gregorian-interval/2020-12-12/2020-12-18
2020-12-17/2020-12-23,2020-12-17/2020-12-23,2020-12-17/2020-12-23,,33,,http://reference.data.gov.uk/id/gregorian-interval/2020-12-17/2020-12-23
2020-12-27/2021-01-02,2020-12-27/2021-01-02,2020-12-27/2021-01-02,,34,,http://reference.data.gov.uk/id/gregorian-interval/2020-12-27/2021-01-02
2021-01-03/2021-01-09,2021-01-03/2021-01-09,2021-01-03/2021-01-09,,35,,http://reference.data.gov.uk/id/gregorian-interval/2021-01-03/2021-01-09
2021-01-10/2021-01-16,2021-01-10/2021-01-16,2021-01-10/2021-01-16,,36,,http://reference.data.gov.uk/id/gregorian-interval/2021-01-10/2021-01-16
2021-01-17/2021-01-23,2021-01-17/2021-01-23,2021-01-17/2021-01-23,,37,,http://reference.data.gov.uk/id/gregorian-interval/2021-01-17/2021-01-23
2021-01-24/2021-01-30,2021-01-24/2021-01-30,2021-01-24/2021-01-30,,38,,http://reference.data.gov.uk/id/gregorian-interval/2021-01-24/2021-01-30
2021-01-31/2021-02-06,2021-01-31/2021-02-06,2021-01-31/2021-02-06,,39,,http://reference.data.gov.uk/id/gregorian-interval/2021-01-31/2021-02-06
2021-02-06/2021-02-12,2021-02-06/2021-02-12,2021-02-06/2021-02-12,,40,,http://reference.data.gov.uk/id/gregorian-interval/2021-02-06/2021-02-12
2021-02-13/2021-02-19,2021-02-13/2021-02-19,2021-02-13/2021-02-19,,41,,http://reference.data.gov.uk/id/gregorian-interval/2021-02-13/2021-02-19
2021-02-21/2021-02-27,2021-02-21/2021-02-27,2021-02-21/2021-02-27,,42,,http://reference.data.gov.uk/id/gregorian-interval/2021-02-21/2021-02-27
2021-02-28/2021-03-06,2021-02-28/2021-03-06,2021-02-28/2021-03-06,,43,,http://reference.data.gov.uk/id/gregorian-interval/2021-02-28/2021-03-06
2021-03-07/2021-03-13,2021-03-07/2021-03-13,2021-03-07/2021-03-13,,44,,http://reference.data.gov.uk/id/gregorian-interval/2021-03-07/2021-03-13
